schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,cong_code,congruency,corr_ans,cue_file,action1,action2,action3,target_file
throw,adults,ball,picnic_20,wm_48,volley_ball,unrelated,01-02_01_02_188,NaN,picnic,outdoor,5,neu,right,stim/01-02_01_02_188_Slide-01.png,stim/01-02_01_02_188_Slide-02.png,stim/01-02_01_02_188_Slide-03.png,stim/01-02_01_02_188_Slide-04.png,stim/01-02_01_02_188_Slide-05.png
throw,adults,ball,beach_17,ww_41,beach_ball,unrelated,01-02_01_02_161,NaN,beach,outdoor,8,inc,right,stim/01-02_01_02_161_Slide-01.png,stim/01-02_01_02_161_Slide-02.png,stim/01-02_01_02_161_Slide-03.png,stim/01-02_01_02_161_Slide-04.png,stim/01-02_01_02_161_Slide-08.png
throw,adults,ball,beach_22,mw_42,beach_ball,context,01-02_01_02_166,1,beach,outdoor,6,con,left,stim/01-02_01_02_166_Slide-01.png,stim/01-02_01_02_166_Slide-02.png,stim/01-02_01_02_166_Slide-03.png,stim/01-02_01_02_166_Slide-04.png,stim/01-02_01_02_166_Slide-06.png
throw,adults,ball,picnic_22,mw_48,beach_ball,other_schema,01-02_01_02_190,1,picnic,outdoor,5,neu,right,stim/01-02_01_02_190_Slide-01.png,stim/01-02_01_02_190_Slide-02.png,stim/01-02_01_02_190_Slide-03.png,stim/01-02_01_02_190_Slide-04.png,stim/01-02_01_02_190_Slide-05.png
throw,adults,ball,kitchen_17,ww_33,red_ball,action,01-02_01_01_129,NaN,kitchen,indoor,8,inc,right,stim/01-02_01_01_129_Slide-01.png,stim/01-02_01_01_129_Slide-02.png,stim/01-02_01_01_129_Slide-03.png,stim/01-02_01_01_129_Slide-04.png,stim/01-02_01_01_129_Slide-08.png
throw,adults,ball,picnic_24,mm_48,red_ball,context,01-02_01_02_192,NaN,picnic,outdoor,6,con,left,stim/01-02_01_02_192_Slide-01.png,stim/01-02_01_02_192_Slide-02.png,stim/01-02_01_02_192_Slide-03.png,stim/01-02_01_02_192_Slide-04.png,stim/01-02_01_02_192_Slide-06.png
throw,parents,ball,park_4,wm_12,volley_ball,other_schema,01-01_01_02_44,NaN,park,outdoor,5,neu,right,stim/01-01_01_02_44_Slide-01.png,stim/01-01_01_02_44_Slide-02.png,stim/01-01_01_02_44_Slide-03.png,stim/01-01_01_02_44_Slide-04.png,stim/01-01_01_02_44_Slide-05.png
throw,parents,ball,living_4,wm_6,american_ball,context,01-01_01_01_20,NaN,living,indoor,8,inc,right,stim/01-01_01_01_20_Slide-01.png,stim/01-01_01_01_20_Slide-02.png,stim/01-01_01_01_20_Slide-03.png,stim/01-01_01_01_20_Slide-04.png,stim/01-01_01_01_20_Slide-08.png
throw,parents,ball,picnic_6,mw_16,beach_ball,action,01-01_01_02_62,1,picnic,outdoor,6,con,left,stim/01-01_01_02_62_Slide-01.png,stim/01-01_01_02_62_Slide-02.png,stim/01-01_01_02_62_Slide-03.png,stim/01-01_01_02_62_Slide-04.png,stim/01-01_01_02_62_Slide-06.png
throw,parents,ball,beach_6,mw_10,beach_ball,other_schema,01-01_01_02_38,1,beach,outdoor,5,neu,right,stim/01-01_01_02_38_Slide-01.png,stim/01-01_01_02_38_Slide-02.png,stim/01-01_01_02_38_Slide-03.png,stim/01-01_01_02_38_Slide-04.png,stim/01-01_01_02_38_Slide-05.png
throw,parents,ball,picnic_8,mm_16,red_ball,context,01-01_01_02_64,NaN,picnic,outdoor,8,inc,right,stim/01-01_01_02_64_Slide-01.png,stim/01-01_01_02_64_Slide-02.png,stim/01-01_01_02_64_Slide-03.png,stim/01-01_01_02_64_Slide-04.png,stim/01-01_01_02_64_Slide-08.png
throw,parents,ball,camping_1,ww_13,volley_ball,other_schema,01-01_01_02_49,NaN,camping,outdoor,6,con,left,stim/01-01_01_02_49_Slide-01.png,stim/01-01_01_02_49_Slide-02.png,stim/01-01_01_02_49_Slide-03.png,stim/01-01_01_02_49_Slide-04.png,stim/01-01_01_02_49_Slide-06.png
throw,parents,ball,camping_8,mm_14,beach_ball,unrelated,01-01_01_02_56,NaN,camping,outdoor,5,neu,right,stim/01-01_01_02_56_Slide-01.png,stim/01-01_01_02_56_Slide-02.png,stim/01-01_01_02_56_Slide-03.png,stim/01-01_01_02_56_Slide-04.png,stim/01-01_01_02_56_Slide-05.png
throw,parents,ball,beach_8,mm_10,red_ball,unrelated,01-01_01_02_40,NaN,beach,outdoor,8,inc,right,stim/01-01_01_02_40_Slide-01.png,stim/01-01_01_02_40_Slide-02.png,stim/01-01_01_02_40_Slide-03.png,stim/01-01_01_02_40_Slide-04.png,stim/01-01_01_02_40_Slide-08.png
throw,parents,ball,beach_1,ww_9,volley_ball,unrelated,01-01_01_02_33,NaN,beach,outdoor,6,con,left,stim/01-01_01_02_33_Slide-01.png,stim/01-01_01_02_33_Slide-02.png,stim/01-01_01_02_33_Slide-03.png,stim/01-01_01_02_33_Slide-04.png,stim/01-01_01_02_33_Slide-06.png
throw,adults,frisbee,picnic_26,ww_64,blue_frisbee,other_schema,01-02_02_02_250,NaN,picnic,outdoor,5,neu,right,stim/01-02_02_02_250_Slide-01.png,stim/01-02_02_02_250_Slide-02.png,stim/01-02_02_02_250_Slide-03.png,stim/01-02_02_02_250_Slide-04.png,stim/01-02_02_02_250_Slide-05.png
throw,adults,frisbee,park_26,ww_60,red_frisbee,action,01-02_02_02_234,NaN,park,outdoor,8,inc,right,stim/01-02_02_02_234_Slide-01.png,stim/01-02_02_02_234_Slide-02.png,stim/01-02_02_02_234_Slide-03.png,stim/01-02_02_02_234_Slide-04.png,stim/01-02_02_02_234_Slide-08.png
throw,adults,frisbee,office_31,mm_55,blue_frisbee,action,01-02_02_01_223,NaN,office,indoor,6,con,left,stim/01-02_02_01_223_Slide-01.png,stim/01-02_02_01_223_Slide-02.png,stim/01-02_02_01_223_Slide-03.png,stim/01-02_02_01_223_Slide-04.png,stim/01-02_02_01_223_Slide-06.png
throw,adults,frisbee,park_28,wm_60,brown_frisbee,action,01-02_02_02_236,NaN,park,outdoor,5,neu,right,stim/01-02_02_02_236_Slide-01.png,stim/01-02_02_02_236_Slide-02.png,stim/01-02_02_02_236_Slide-03.png,stim/01-02_02_02_236_Slide-04.png,stim/01-02_02_02_236_Slide-05.png
throw,adults,frisbee,living_26,ww_54,blue_frisbee,context,01-02_02_01_210,NaN,living,indoor,8,inc,right,stim/01-02_02_01_210_Slide-01.png,stim/01-02_02_01_210_Slide-02.png,stim/01-02_02_01_210_Slide-03.png,stim/01-02_02_01_210_Slide-04.png,stim/01-02_02_01_210_Slide-08.png
throw,adults,frisbee,camping_31,mm_61,brown_frisbee,action,01-02_02_02_247,NaN,camping,outdoor,6,con,left,stim/01-02_02_02_247_Slide-01.png,stim/01-02_02_02_247_Slide-02.png,stim/01-02_02_02_247_Slide-03.png,stim/01-02_02_02_247_Slide-04.png,stim/01-02_02_02_247_Slide-06.png
throw,parents,frisbee,office_15,mm_23,blue_frisbee,other_schema,01-01_02_01_95,NaN,office,indoor,5,neu,right,stim/01-01_02_01_95_Slide-01.png,stim/01-01_02_01_95_Slide-02.png,stim/01-01_02_01_95_Slide-03.png,stim/01-01_02_01_95_Slide-04.png,stim/01-01_02_01_95_Slide-05.png
throw,parents,frisbee,park_15,mm_27,yellow_frisbee,unrelated,01-01_02_02_111,NaN,park,outdoor,8,inc,right,stim/01-01_02_02_111_Slide-01.png,stim/01-01_02_02_111_Slide-02.png,stim/01-01_02_02_111_Slide-03.png,stim/01-01_02_02_111_Slide-04.png,stim/01-01_02_02_111_Slide-08.png
