schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,OvsN,OvsN_code,story_rec_corr,cong_code,congruency,cue_file,action1,action2,action3,target_file,choice_left,choice_center,choice_right,afc_corr
throw,adults,ball,picnic_20,wm_48,volley_ball,unrelated,01-02_01_02_188,NaN,picnic,outdoor,old,1,left,6,con,stim/01-02_01_02_188_Slide-01.png,stim/01-02_01_02_188_Slide-02.png,stim/01-02_01_02_188_Slide-03.png,stim/01-02_01_02_188_Slide-04.png,stim/01-02_01_02_188_Slide-06.png,stim/01-02_01_02_188_Slide-06.png,stim/01-02_01_02_188_Slide-08.png,stim/01-02_01_02_188_Slide-05.png,1
throw,adults,ball,beach_17,ww_41,beach_ball,unrelated,01-02_01_02_161,NaN,beach,outdoor,old,1,left,5,neu,stim/01-02_01_02_161_Slide-01.png,stim/01-02_01_02_161_Slide-02.png,stim/01-02_01_02_161_Slide-03.png,stim/01-02_01_02_161_Slide-04.png,stim/01-02_01_02_161_Slide-05.png,stim/01-02_01_02_161_Slide-06.png,stim/01-02_01_02_161_Slide-08.png,stim/01-02_01_02_161_Slide-05.png,3
throw,adults,ball,beach_22,mw_42,beach_ball,context,01-02_01_02_166,1,beach,outdoor,old,1,left,8,inc,stim/01-02_01_02_166_Slide-01.png,stim/01-02_01_02_166_Slide-02.png,stim/01-02_01_02_166_Slide-03.png,stim/01-02_01_02_166_Slide-04.png,stim/01-02_01_02_166_Slide-08.png,stim/01-02_01_02_166_Slide-06.png,stim/01-02_01_02_166_Slide-08.png,stim/01-02_01_02_166_Slide-05.png,2
throw,adults,ball,picnic_22,mw_48,beach_ball,other_schema,01-02_01_02_190,1,picnic,outdoor,old,1,left,6,con,stim/01-02_01_02_190_Slide-01.png,stim/01-02_01_02_190_Slide-02.png,stim/01-02_01_02_190_Slide-03.png,stim/01-02_01_02_190_Slide-04.png,stim/01-02_01_02_190_Slide-06.png,stim/01-02_01_02_190_Slide-06.png,stim/01-02_01_02_190_Slide-08.png,stim/01-02_01_02_190_Slide-05.png,1
throw,adults,ball,kitchen_17,ww_33,red_ball,action,01-02_01_01_129,NaN,kitchen,indoor,old,1,left,5,neu,stim/01-02_01_01_129_Slide-01.png,stim/01-02_01_01_129_Slide-02.png,stim/01-02_01_01_129_Slide-03.png,stim/01-02_01_01_129_Slide-04.png,stim/01-02_01_01_129_Slide-05.png,stim/01-02_01_01_129_Slide-06.png,stim/01-02_01_01_129_Slide-08.png,stim/01-02_01_01_129_Slide-05.png,3
throw,adults,ball,picnic_24,mm_48,red_ball,context,01-02_01_02_192,NaN,picnic,outdoor,old,1,left,8,inc,stim/01-02_01_02_192_Slide-01.png,stim/01-02_01_02_192_Slide-02.png,stim/01-02_01_02_192_Slide-03.png,stim/01-02_01_02_192_Slide-04.png,stim/01-02_01_02_192_Slide-08.png,stim/01-02_01_02_192_Slide-06.png,stim/01-02_01_02_192_Slide-08.png,stim/01-02_01_02_192_Slide-05.png,2
throw,parents,ball,park_4,wm_12,volley_ball,other_schema,01-01_01_02_44,NaN,park,outdoor,old,1,left,6,con,stim/01-01_01_02_44_Slide-01.png,stim/01-01_01_02_44_Slide-02.png,stim/01-01_01_02_44_Slide-03.png,stim/01-01_01_02_44_Slide-04.png,stim/01-01_01_02_44_Slide-06.png,stim/01-01_01_02_44_Slide-06.png,stim/01-01_01_02_44_Slide-08.png,stim/01-01_01_02_44_Slide-05.png,1
throw,parents,ball,living_4,wm_6,american_ball,context,01-01_01_01_20,NaN,living,indoor,old,1,left,5,neu,stim/01-01_01_01_20_Slide-01.png,stim/01-01_01_01_20_Slide-02.png,stim/01-01_01_01_20_Slide-03.png,stim/01-01_01_01_20_Slide-04.png,stim/01-01_01_01_20_Slide-05.png,stim/01-01_01_01_20_Slide-06.png,stim/01-01_01_01_20_Slide-08.png,stim/01-01_01_01_20_Slide-05.png,3
throw,parents,ball,picnic_6,mw_16,beach_ball,action,01-01_01_02_62,1,picnic,outdoor,old,1,left,8,inc,stim/01-01_01_02_62_Slide-01.png,stim/01-01_01_02_62_Slide-02.png,stim/01-01_01_02_62_Slide-03.png,stim/01-01_01_02_62_Slide-04.png,stim/01-01_01_02_62_Slide-08.png,stim/01-01_01_02_62_Slide-06.png,stim/01-01_01_02_62_Slide-08.png,stim/01-01_01_02_62_Slide-05.png,2
throw,parents,ball,beach_6,mw_10,beach_ball,other_schema,01-01_01_02_38,1,beach,outdoor,old,1,left,6,con,stim/01-01_01_02_38_Slide-01.png,stim/01-01_01_02_38_Slide-02.png,stim/01-01_01_02_38_Slide-03.png,stim/01-01_01_02_38_Slide-04.png,stim/01-01_01_02_38_Slide-06.png,stim/01-01_01_02_38_Slide-05.png,stim/01-01_01_02_38_Slide-06.png,stim/01-01_01_02_38_Slide-08.png,2
throw,parents,ball,picnic_8,mm_16,red_ball,context,01-01_01_02_64,NaN,picnic,outdoor,old,1,left,5,neu,stim/01-01_01_02_64_Slide-01.png,stim/01-01_01_02_64_Slide-02.png,stim/01-01_01_02_64_Slide-03.png,stim/01-01_01_02_64_Slide-04.png,stim/01-01_01_02_64_Slide-05.png,stim/01-01_01_02_64_Slide-05.png,stim/01-01_01_02_64_Slide-06.png,stim/01-01_01_02_64_Slide-08.png,1
throw,parents,ball,camping_1,ww_13,volley_ball,other_schema,01-01_01_02_49,NaN,camping,outdoor,old,1,left,8,inc,stim/01-01_01_02_49_Slide-01.png,stim/01-01_01_02_49_Slide-02.png,stim/01-01_01_02_49_Slide-03.png,stim/01-01_01_02_49_Slide-04.png,stim/01-01_01_02_49_Slide-08.png,stim/01-01_01_02_49_Slide-05.png,stim/01-01_01_02_49_Slide-06.png,stim/01-01_01_02_49_Slide-08.png,3
throw,parents,ball,camping_8,mm_14,beach_ball,unrelated,01-01_01_02_56,NaN,camping,outdoor,old,1,left,6,con,stim/01-01_01_02_56_Slide-01.png,stim/01-01_01_02_56_Slide-02.png,stim/01-01_01_02_56_Slide-03.png,stim/01-01_01_02_56_Slide-04.png,stim/01-01_01_02_56_Slide-06.png,stim/01-01_01_02_56_Slide-05.png,stim/01-01_01_02_56_Slide-06.png,stim/01-01_01_02_56_Slide-08.png,2
throw,parents,ball,beach_8,mm_10,red_ball,unrelated,01-01_01_02_40,NaN,beach,outdoor,old,1,left,5,neu,stim/01-01_01_02_40_Slide-01.png,stim/01-01_01_02_40_Slide-02.png,stim/01-01_01_02_40_Slide-03.png,stim/01-01_01_02_40_Slide-04.png,stim/01-01_01_02_40_Slide-05.png,stim/01-01_01_02_40_Slide-05.png,stim/01-01_01_02_40_Slide-06.png,stim/01-01_01_02_40_Slide-08.png,1
throw,parents,ball,beach_1,ww_9,volley_ball,unrelated,01-01_01_02_33,NaN,beach,outdoor,old,1,left,8,inc,stim/01-01_01_02_33_Slide-01.png,stim/01-01_01_02_33_Slide-02.png,stim/01-01_01_02_33_Slide-03.png,stim/01-01_01_02_33_Slide-04.png,stim/01-01_01_02_33_Slide-08.png,stim/01-01_01_02_33_Slide-05.png,stim/01-01_01_02_33_Slide-06.png,stim/01-01_01_02_33_Slide-08.png,3
throw,adults,frisbee,picnic_26,ww_64,blue_frisbee,other_schema,01-02_02_02_250,NaN,picnic,outdoor,old,1,left,6,con,stim/01-02_02_02_250_Slide-01.png,stim/01-02_02_02_250_Slide-02.png,stim/01-02_02_02_250_Slide-03.png,stim/01-02_02_02_250_Slide-04.png,stim/01-02_02_02_250_Slide-06.png,stim/01-02_02_02_250_Slide-05.png,stim/01-02_02_02_250_Slide-06.png,stim/01-02_02_02_250_Slide-08.png,2
throw,adults,frisbee,park_26,ww_60,red_frisbee,action,01-02_02_02_234,NaN,park,outdoor,old,1,left,5,neu,stim/01-02_02_02_234_Slide-01.png,stim/01-02_02_02_234_Slide-02.png,stim/01-02_02_02_234_Slide-03.png,stim/01-02_02_02_234_Slide-04.png,stim/01-02_02_02_234_Slide-05.png,stim/01-02_02_02_234_Slide-05.png,stim/01-02_02_02_234_Slide-06.png,stim/01-02_02_02_234_Slide-08.png,1
throw,adults,frisbee,office_31,mm_55,blue_frisbee,action,01-02_02_01_223,NaN,office,indoor,old,1,left,8,inc,stim/01-02_02_01_223_Slide-01.png,stim/01-02_02_01_223_Slide-02.png,stim/01-02_02_01_223_Slide-03.png,stim/01-02_02_01_223_Slide-04.png,stim/01-02_02_01_223_Slide-08.png,stim/01-02_02_01_223_Slide-05.png,stim/01-02_02_01_223_Slide-06.png,stim/01-02_02_01_223_Slide-08.png,3
throw,adults,frisbee,park_28,wm_60,brown_frisbee,action,01-02_02_02_236,NaN,park,outdoor,old,1,left,6,con,stim/01-02_02_02_236_Slide-01.png,stim/01-02_02_02_236_Slide-02.png,stim/01-02_02_02_236_Slide-03.png,stim/01-02_02_02_236_Slide-04.png,stim/01-02_02_02_236_Slide-06.png,stim/01-02_02_02_236_Slide-08.png,stim/01-02_02_02_236_Slide-05.png,stim/01-02_02_02_236_Slide-06.png,3
throw,adults,frisbee,living_26,ww_54,blue_frisbee,context,01-02_02_01_210,NaN,living,indoor,old,1,left,5,neu,stim/01-02_02_01_210_Slide-01.png,stim/01-02_02_01_210_Slide-02.png,stim/01-02_02_01_210_Slide-03.png,stim/01-02_02_01_210_Slide-04.png,stim/01-02_02_01_210_Slide-05.png,stim/01-02_02_01_210_Slide-08.png,stim/01-02_02_01_210_Slide-05.png,stim/01-02_02_01_210_Slide-06.png,2
throw,adults,frisbee,camping_31,mm_61,brown_frisbee,action,01-02_02_02_247,NaN,camping,outdoor,old,1,left,8,inc,stim/01-02_02_02_247_Slide-01.png,stim/01-02_02_02_247_Slide-02.png,stim/01-02_02_02_247_Slide-03.png,stim/01-02_02_02_247_Slide-04.png,stim/01-02_02_02_247_Slide-08.png,stim/01-02_02_02_247_Slide-08.png,stim/01-02_02_02_247_Slide-05.png,stim/01-02_02_02_247_Slide-06.png,1
throw,parents,frisbee,office_15,mm_23,blue_frisbee,other_schema,01-01_02_01_95,NaN,office,indoor,old,1,left,6,con,stim/01-01_02_01_95_Slide-01.png,stim/01-01_02_01_95_Slide-02.png,stim/01-01_02_01_95_Slide-03.png,stim/01-01_02_01_95_Slide-04.png,stim/01-01_02_01_95_Slide-06.png,stim/01-01_02_01_95_Slide-08.png,stim/01-01_02_01_95_Slide-05.png,stim/01-01_02_01_95_Slide-06.png,3
throw,parents,frisbee,park_15,mm_27,yellow_frisbee,unrelated,01-01_02_02_111,NaN,park,outdoor,old,1,left,5,neu,stim/01-01_02_02_111_Slide-01.png,stim/01-01_02_02_111_Slide-02.png,stim/01-01_02_02_111_Slide-03.png,stim/01-01_02_02_111_Slide-04.png,stim/01-01_02_02_111_Slide-05.png,stim/01-01_02_02_111_Slide-08.png,stim/01-01_02_02_111_Slide-05.png,stim/01-01_02_02_111_Slide-06.png,2
throw,parents,frisbee,camping_11,wm_29,yellow_frisbee,unrelated,01-01_02_02_115,NaN,camping,outdoor,old,1,left,8,inc,stim/01-01_02_02_115_Slide-01.png,stim/01-01_02_02_115_Slide-02.png,stim/01-01_02_02_115_Slide-03.png,stim/01-01_02_02_115_Slide-04.png,stim/01-01_02_02_115_Slide-08.png,stim/01-01_02_02_115_Slide-08.png,stim/01-01_02_02_115_Slide-05.png,stim/01-01_02_02_115_Slide-06.png,1
throw,parents,frisbee,beach_15,mm_25,red_frisbee,other_schema,01-01_02_02_103,NaN,beach,outdoor,old,1,left,6,con,stim/01-01_02_02_103_Slide-01.png,stim/01-01_02_02_103_Slide-02.png,stim/01-01_02_02_103_Slide-03.png,stim/01-01_02_02_103_Slide-04.png,stim/01-01_02_02_103_Slide-06.png,stim/01-01_02_02_103_Slide-08.png,stim/01-01_02_02_103_Slide-05.png,stim/01-01_02_02_103_Slide-06.png,3
throw,parents,frisbee,camping_13,mw_29,yellow_frisbee,unrelated,01-01_02_02_117,1,camping,outdoor,old,1,left,5,neu,stim/01-01_02_02_117_Slide-01.png,stim/01-01_02_02_117_Slide-02.png,stim/01-01_02_02_117_Slide-03.png,stim/01-01_02_02_117_Slide-04.png,stim/01-01_02_02_117_Slide-05.png,stim/01-01_02_02_117_Slide-08.png,stim/01-01_02_02_117_Slide-05.png,stim/01-01_02_02_117_Slide-06.png,2
throw,parents,frisbee,kitchen_13,mw_17,red_frisbee,context,01-01_02_01_69,1,kitchen,indoor,old,1,left,8,inc,stim/01-01_02_01_69_Slide-01.png,stim/01-01_02_01_69_Slide-02.png,stim/01-01_02_01_69_Slide-03.png,stim/01-01_02_01_69_Slide-04.png,stim/01-01_02_01_69_Slide-08.png,stim/01-01_02_01_69_Slide-08.png,stim/01-01_02_01_69_Slide-05.png,stim/01-01_02_01_69_Slide-06.png,1
throw,parents,frisbee,living_11,wm_21,red_frisbee,unrelated,01-01_02_01_83,NaN,living,indoor,old,1,left,6,con,stim/01-01_02_01_83_Slide-01.png,stim/01-01_02_01_83_Slide-02.png,stim/01-01_02_01_83_Slide-03.png,stim/01-01_02_01_83_Slide-04.png,stim/01-01_02_01_83_Slide-06.png,stim/01-01_02_01_83_Slide-08.png,stim/01-01_02_01_83_Slide-05.png,stim/01-01_02_01_83_Slide-06.png,3
throw,parents,frisbee,picnic_15,mm_31,yellow_frisbee,action,01-01_02_02_127,NaN,picnic,outdoor,old,1,left,5,neu,stim/01-01_02_02_127_Slide-01.png,stim/01-01_02_02_127_Slide-02.png,stim/01-01_02_02_127_Slide-03.png,stim/01-01_02_02_127_Slide-04.png,stim/01-01_02_02_127_Slide-05.png,stim/01-01_02_02_127_Slide-08.png,stim/01-01_02_02_127_Slide-05.png,stim/01-01_02_02_127_Slide-06.png,2
throw,parents,frisbee,office_13,mw_23,yellow_frisbee,action,01-01_02_01_93,1,office,indoor,old,1,left,8,inc,stim/01-01_02_01_93_Slide-01.png,stim/01-01_02_01_93_Slide-02.png,stim/01-01_02_01_93_Slide-03.png,stim/01-01_02_01_93_Slide-04.png,stim/01-01_02_01_93_Slide-08.png,stim/01-01_02_01_93_Slide-08.png,stim/01-01_02_01_93_Slide-05.png,stim/01-01_02_01_93_Slide-06.png,1
